区域,小区名称,小区地址,面积/平方米,总价/万,单价/每平米,修建年份
青羊,盛世年华,太升路-东珠市街66号,93,170,18180,2006年建造
青羊,双顺路4号院,府南新区-双顺路4号,64,88.8,13780,2002年建造
青羊,万和中心,万家湾-日月大道1501号,46,65,14130,2015年建造
青羊,航天佳苑,万家湾-培中路73号,186,303,16290,2009年建造
青羊,青羊万达广场,黄田坝-日月大道978号,38,56,14737,2015年建造
青羊,紫御熙庭,黄田坝-西货站路355号,179,268.5,15000,2014年建造
青羊,大地新光华广场小区,光华村-光华村街66号,46,48,10435,2007年建造
青羊,航天佳苑,万家湾-培中路73号,186,303,16290,2011年建造
青羊,凯丽美域,金沙-金祥路55号,89,220,24518,2009年建造
青羊,同仁居,少城-中同仁路168号,132,280,21212,2004年建造
青羊,中铁西城东区,万家湾-光华东三路398号,121,290,23819,2012年建造
青羊,紫御熙庭,黄田坝-西货站路355号,210,340,16190,2017年建造
青羊,正黄金域国际,八宝街-同心路1号,49,105,21046,2014年建造
青羊,万和中心,万家湾-日月大道1501号,42,62.9,14976,2018年建造
青羊,天合凯旋城,贝森-光华大道瑞联路66号,149,350,23355,2008年建造
青羊,东立光华杏林,万家湾-同辉南路256号,81,120,14747,2010年建造
青羊,优品道,贝森-青羊大道99号,161,420,25972,2009年建造
青羊,天合凯旋城,贝森-光华大道瑞联路66号,166,390,23397,2008年建造
青羊,万科金色领域(商住楼),万家湾-光华南三路88号,48,55,11458,2017年建造
青羊,交通局家属院,太升路-太升北路33号,53,80,14906,1990年建造
青羊,文和苑,太升路-东珠市街28号,114,135,11754,2000年建造
青羊,恒大翡翠华庭,"外光华-光华南三路,近成飞大道",88,165,18564,2015年建造
青羊,壹号公馆,文殊院-人民中路三段1号,40,85,21250,2018年建造
青羊,龙湖翠微清波A区,苏坡立交-金福路419号,112,256,22857,2010年建造
青羊,龙湖翠微清波A区,苏坡立交-金福路419号,126,255,20238,2008年建造
青羊,西府少城,青羊宫-小南街109号,89,230,25584,2012年建造
青羊,锦里西路123号院,青羊宫-锦里西路123号,52,72,13714,1996年建造
青羊,石室中学教师宿舍,浣花溪-科联街1号,103,195,18932,2001年建造
青羊,科联街5号院,浣花溪-科联街5号,103,195,18932,2003年建造
青羊,交通局家属院,太升路-太升北路33号,53,80,14906,1995年建造
青羊,峨眉电影制片厂宿舍,草堂-清江东路360号,59,64,10847,2018年建造
青羊,蓝光SOFA社区,万家湾-成飞大道南段238号,72,122,16937,2012年建造
青羊,三道街50号院,八宝街-三道街50号,126,210,16639,1993年建造
青羊,天盛壹中心,文殊院-北大街88号,48,75,15625,2008年建造
青羊,天邑花园,光华村-二环路西一段99号,93,171,18271,2008年建造
青羊,二十一世纪花园,贝森-苏坡东路27号,88,150,17045,2003年建造
青羊,中大君悦金沙4期,金沙-金祥路18号,84,248,29523,2010年建造
青羊,凯旋天际湾,贝森-东坡路339号,114,345,30263,2013年建造
青羊,绿洲华苑,金沙-蜀汉路530号,111,190,17117,2004年建造
青羊,清溪南街9号院,府南新区-清溪南街9号,49,66,13469,1999年建造
青羊,凯丽美域,金沙-金祥路55号,70,170,24286,2008年建造
青羊,凯丽美域,金沙-金祥路55号,89,225,25281,2008年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,67,114.7,16997,2015年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,63,125,19562,2015年建造
青羊,紫御熙庭,黄田坝-西货站路355号,89,149,16742,2016年建造
青羊,金阳伦敦西区,贝森-青羊大道29号,478,893,18682,2013年建造
青羊,紫御熙庭,黄田坝-西货站路355号,95,145,15263,2013年建造
青羊,二十一世纪花园世纪城,贝森-贝双街111号,133,215,16057,2003年建造
青羊,青羊万达广场,黄田坝-日月大道978号,1556,2100,13496,2014年建造
青羊,二十一世纪花园千禧园,贝森-贝森路111号,138,210,15128,2003年建造
青羊,天合凯旋城,贝森-光华大道瑞联路66号,150,345,22969,2008年建造
青羊,幸福里,外光华-福庆路83号,49,53,10816,2012年建造
青羊,元益花园,万家湾-光华大道一段866号,71,120,16901,2012年建造
青羊,紫御熙庭,黄田坝-西货站路355号,95,142,14947,2013年建造
青羊,荣盛花语城,万家湾-光华东一路75号,72,145,19967,2015年建造
青羊,中大君悦金沙7期君逸院,金沙-蜀辉路99号,88,240,27174,2015年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,66,109,16460,2012年建造
青羊,二十一世纪花园千禧园,贝森-贝森路111号,114,189,16579,2003年建造
青羊,东原时光道,外光华-光华大道东4路78号,80,152,18789,2015年建造
青羊,上城生活馆,贝森-东顺路191号,140,230,16382,2006年建造
青羊,大石东路7号院,青羊宫-大石东路7号,93,115,12313,1997年建造
青羊,凯德风尚,外光华-成飞大道南段199号,79,147,18533,2012年建造
青羊,颐和京都,万家湾-培风路276号,77,126.8,16446,2008年建造
青羊,槐树街32号院,八宝街-槐树街32号,84,140,16525,1999年建造
青羊,颐和京都,万家湾-培风路276号,76,120,15789,2013年建造
青羊,金林大城小室,府南新区-清江中路10号,77,130,16792,2008年建造
青羊,清溪雅筑,万家湾-培风路271号,92,119,12935,2012年建造
青羊,天合凯旋城,贝森-光华大道瑞联路66号,201,422,20932,2008年建造
青羊,西城尚锦,万家湾-光华东三路588号,78,160,20453,2015年建造
青羊,光华碧邻,外光华-光华西二路126号,92,138,14871,2010年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,52,71.5,13575,2016年建造
青羊,保利香槟光华,万家湾-光华东五路255号,54,94,17378,2014年建造
青羊,锦天国际,太升路-太升南路288号,88,140,15880,2010年建造
青羊,石马巷4号院,太升路-石马巷4号,77,98,12617,1995年建造
青羊,时代印象,太升路-北东街1号,55,78,13936,2005年建造
青羊,壹号公馆,文殊院-人民中路三段1号,39,48,12308,2018年建造
青羊,中大君悦金沙一二期,金沙-蜀辉路19号,86,182,21163,2008年建造
青羊,金沙揽胜,贝森-清江中路63号,80,139,17327,2007年建造
青羊,双玺,贝森-贝森路216号,87,199,22758,2011年建造
青羊,峨眉电影制片厂宿舍,草堂-清江东路360号,57,84,14737,2018年建造
青羊,锦绣光华,万家湾-中坝街29号,81,118,14452,2010年建造
青羊,幸福里,外光华-福庆路83号,49,53,10816,2010年建造
青羊,双玺,贝森-贝森路216号,79,165,20726,2011年建造
青羊,汇厦少城,青羊宫-文庙西街300号,97,230,23590,2014年建造
青羊,蓝光COCO金沙一期,苏坡立交-金辉路,53,99,18679,2014年建造
青羊,蓝光COCO金沙三期,苏坡立交-清涟路18号,70,130,18453,2016年建造
青羊,中大君悦金沙5期君郎院,金沙-蜀辉路8号,86,190,22093,2012年建造
青羊,荣盛花语城,万家湾-光华东一路75号,63,118,18692,2014年建造
青羊,光华逸家,万家湾-光华东三路401号,70,150,21271,2012年建造
青羊,金阳易诚国际,万家湾-培华路399号,70,110,15579,2011年建造
青羊,龙湖翠微清波A区,苏坡立交-金福路419号,138,290,21014,2008年建造
青羊,恒大翡翠华庭,"外光华-光华南三路,近成飞大道",88,165,18550,2015年建造
青羊,光华美邻,贝森-瑞星路89号,103,200,19417,2007年建造
青羊,光华馨地,光华村-青羊大道98号,82,128,15478,2009年建造
青羊,西府少城,青羊宫-小南街109号,89,230,25814,2011年建造
青羊,清溪雅筑,万家湾-培风路271号,79,99,12489,2012年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,69,100,14482,2015年建造
青羊,贝森兴园一期,贝森-贝双街2号,64,98,15194,2000年建造
青羊,大地新光华广场小区,光华村-光华村街66号,42,40,9412,2007年建造
青羊,青羊万达广场,黄田坝-日月大道978号,78,82,10513,2018年建造
青羊,中铁西子香荷,贝森-琼楼路99号,91,193,21209,2008年建造
青羊,峨眉电影制片厂宿舍,草堂-清江东路360号,35,35,10000,2011年建造
青羊,石人南路38号院,草堂-石人南路38号,80,87,10875,1998年建造
青羊,保利香槟光华,万家湾-光华东五路255号,56,100,17727,2012年建造
青羊,东立光华杏林,万家湾-同辉南路256号,86,125,14399,2009年建造
青羊,78号观邸,青羊宫-锦里西路78号,102,219,21397,2004年建造
青羊,清溪雅筑,万家湾-培风路271号,79,96,12111,2012年建造
青羊,金沙海棠,苏坡立交-蜀鑫东路88号,89,162,18060,2008年建造
